neighbourhood_cleansed,room_type,minimum_nights,count,mean,std,min,25%,50%,75%,max,mode
Bispebjerg,Shared room,1,1.0,198.0,,198.0,198.0,198.0,198.0,198.0,198.0
Brønshøj-Husum,Entire home/apt,1,17.0,690.6470588235294,243.42759220568817,349.0,550.0,650.0,879.0,1199.0,349.0
Brønshøj-Husum,Entire home/apt,2,49.0,944.4285714285714,582.123340309709,350.0,584.0,714.0,1042.0,3000.0,950.0
Brønshøj-Husum,Entire home/apt,3,43.0,1026.3720930232557,433.196921198652,280.0,725.0,900.0,1300.0,2000.0,800.0
Brønshøj-Husum,Entire home/apt,4,33.0,1142.6060606060605,779.8024966054681,300.0,750.0,967.0,1250.0,4462.0,750.0
Brønshøj-Husum,Entire home/apt,5,39.0,1198.5641025641025,560.7395396340817,450.0,790.0,1100.0,1400.0,2800.0,1400.0
Brønshøj-Husum,Entire home/apt,6,10.0,1170.2,283.0570417581744,706.0,917.0,1220.0,1400.0,1500.0,1400.0
Brønshøj-Husum,Entire home/apt,7,15.0,1061.6666666666667,370.26277669990515,375.0,833.5,999.0,1228.5,1800.0,750.0
Brønshøj-Husum,Entire home/apt,10,2.0,558.5,372.64527368531054,295.0,426.75,558.5,690.25,822.0,295.0
Brønshøj-Husum,Entire home/apt,14,3.0,577.6666666666666,149.48690020645066,483.0,491.5,500.0,625.0,750.0,483.0
Brønshøj-Husum,Entire home/apt,15,1.0,310.0,,310.0,310.0,310.0,310.0,310.0,310.0
Brønshøj-Husum,Entire home/apt,25,1.0,250.0,,250.0,250.0,250.0,250.0,250.0,250.0
Brønshøj-Husum,Entire home/apt,30,2.0,400.0,141.4213562373095,300.0,350.0,400.0,450.0,500.0,300.0
Brønshøj-Husum,Entire home/apt,60,1.0,800.0,,800.0,800.0,800.0,800.0,800.0,800.0
Brønshøj-Husum,Private room,1,19.0,530.2105263157895,244.1505862616959,200.0,363.0,455.0,675.0,1200.0,400.0
Brønshøj-Husum,Private room,2,24.0,449.6666666666667,170.8385117631539,215.0,344.75,425.0,500.0,1075.0,500.0
Brønshøj-Husum,Private room,3,11.0,386.09090909090907,106.84423666764114,194.0,325.0,393.0,415.0,600.0,300.0
Brønshøj-Husum,Private room,4,1.0,399.0,,399.0,399.0,399.0,399.0,399.0,399.0
Brønshøj-Husum,Private room,5,3.0,323.3333333333333,206.78088241743563,145.0,210.0,275.0,412.5,550.0,145.0
Brønshøj-Husum,Private room,8,1.0,250.0,,250.0,250.0,250.0,250.0,250.0,250.0
Brønshøj-Husum,Private room,14,4.0,381.5,118.13410458739959,300.0,315.0,335.0,401.5,556.0,300.0
Brønshøj-Husum,Private room,30,2.0,552.0,562.8569978244918,154.0,353.0,552.0,751.0,950.0,154.0
Brønshøj-Husum,Private room,31,2.0,245.0,21.213203435596427,230.0,237.5,245.0,252.5,260.0,230.0
Brønshøj-Husum,Shared room,2,1.0,223.0,,223.0,223.0,223.0,223.0,223.0,223.0
Brønshøj-Husum,Shared room,5,1.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0
Frederiksberg,Entire home/apt,1,111.0,1212.7207207207207,664.894580450317,450.0,805.5,1000.0,1400.0,4000.0,1000.0
Frederiksberg,Entire home/apt,2,275.0,1182.7818181818182,558.8950808041229,300.0,841.5,1021.0,1300.0,3718.0,1000.0
Frederiksberg,Entire home/apt,3,281.0,1251.8505338078292,731.8990214367493,350.0,825.0,1064.0,1475.0,6693.0,1500.0
Frederiksberg,Entire home/apt,4,144.0,1336.9166666666667,1513.4309029163167,419.0,800.0,1075.5,1500.0,17857.0,1200.0
Frederiksberg,Entire home/apt,5,117.0,1290.5042735042734,939.955177067169,401.0,900.0,1050.0,1395.0,7071.0,1000.0
Frederiksberg,Entire home/apt,6,41.0,1224.9756097560976,813.1790850669021,450.0,750.0,1000.0,1450.0,5500.0,750.0
Frederiksberg,Entire home/apt,7,32.0,1208.40625,530.8892029097306,600.0,891.25,1000.0,1482.0,2700.0,1000.0
Frederiksberg,Entire home/apt,8,4.0,1249.75,506.80066758703725,500.0,1171.25,1449.5,1528.0,1600.0,500.0
Frederiksberg,Entire home/apt,10,4.0,1115.5,487.87054293804897,417.0,966.75,1275.0,1423.75,1495.0,417.0
Frederiksberg,Entire home/apt,13,3.0,726.0,93.53074360871938,618.0,699.0,780.0,780.0,780.0,780.0
Frederiksberg,Entire home/apt,14,13.0,5379.7692307692305,15812.85887157372,600.0,900.0,950.0,1050.0,58000.0,900.0
Frederiksberg,Entire home/apt,19,1.0,750.0,,750.0,750.0,750.0,750.0,750.0,750.0
Frederiksberg,Entire home/apt,20,3.0,877.3333333333334,369.915305621886,452.0,754.0,1056.0,1090.0,1124.0,452.0
Frederiksberg,Entire home/apt,21,2.0,750.0,70.71067811865476,700.0,725.0,750.0,775.0,800.0,700.0
Frederiksberg,Entire home/apt,28,2.0,637.5,364.15999231107196,380.0,508.75,637.5,766.25,895.0,380.0
Frederiksberg,Entire home/apt,30,3.0,1066.6666666666667,160.7275126832159,950.0,975.0,1000.0,1125.0,1250.0,950.0
Frederiksberg,Entire home/apt,35,1.0,535.0,,535.0,535.0,535.0,535.0,535.0,535.0
Frederiksberg,Entire home/apt,40,1.0,1059.0,,1059.0,1059.0,1059.0,1059.0,1059.0,1059.0
Frederiksberg,Entire home/apt,60,2.0,3547.0,3122.583545719794,1339.0,2443.0,3547.0,4651.0,5755.0,1339.0
Frederiksberg,Entire home/apt,80,1.0,800.0,,800.0,800.0,800.0,800.0,800.0,800.0
Frederiksberg,Entire home/apt,90,1.0,3000.0,,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
Frederiksberg,Entire home/apt,210,1.0,675.0,,675.0,675.0,675.0,675.0,675.0,675.0
Frederiksberg,Entire home/apt,365,1.0,1200.0,,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
Frederiksberg,Private room,1,45.0,634.3555555555556,511.58262265051553,238.0,400.0,550.0,750.0,3718.0,800.0
Frederiksberg,Private room,2,33.0,544.4545454545455,234.3368423483985,185.0,425.0,500.0,640.0,1321.0,500.0
Frederiksberg,Private room,3,26.0,516.1538461538462,236.40367041273996,290.0,365.5,426.0,526.25,1150.0,350.0
Frederiksberg,Private room,4,8.0,597.0,163.29115101560157,415.0,423.75,607.0,748.0,800.0,415.0
Frederiksberg,Private room,5,5.0,484.2,138.10575657806592,300.0,400.0,500.0,571.0,650.0,300.0
Frederiksberg,Private room,6,1.0,500.0,,500.0,500.0,500.0,500.0,500.0,500.0
Frederiksberg,Private room,7,6.0,1350.1666666666667,1795.4944073058725,400.0,525.0,675.0,825.75,5000.0,400.0
Frederiksberg,Private room,14,1.0,430.0,,430.0,430.0,430.0,430.0,430.0,430.0
Frederiksberg,Private room,15,1.0,750.0,,750.0,750.0,750.0,750.0,750.0,750.0
Frederiksberg,Private room,20,1.0,450.0,,450.0,450.0,450.0,450.0,450.0,450.0
Frederiksberg,Private room,30,5.0,989.4,1310.2130742745624,386.0,397.0,401.0,430.0,3333.0,386.0
Frederiksberg,Private room,100,1.0,379.0,,379.0,379.0,379.0,379.0,379.0,379.0
Indre By,Entire home/apt,1,290.0,1725.558620689655,961.1537572077792,400.0,1144.75,1500.0,2000.0,7449.0,1200.0
Indre By,Entire home/apt,2,461.0,1714.7180043383948,1290.9268757626992,450.0,1049.0,1450.0,2000.0,20000.0,1200.0
Indre By,Entire home/apt,3,437.0,1684.5286041189931,1142.6038776903197,434.0,1034.0,1450.0,1950.0,10119.0,1500.0
Indre By,Entire home/apt,4,195.0,1485.548717948718,719.4525993541339,550.0,1000.0,1250.0,1725.0,5570.0,1200.0
